Date,half,fullmonth,percent,
7/1/2020,50.813,96.47,0.53,
8/1/2020,38.284,73.67,0.52,
9/1/2020,32.551,68.78,0.47,
10/1/2020,35.376,72.7,0.49,
11/1/2020,33.509,68.93,0.49,
12/1/2020,48.215,80.6,0.6,
1/1/2021,33.403,65.45,0.51,
2/1/2021,27.961,54.61,0.51,
3/1/2021,30.364,61.56,0.49,
4/1/2021,29.025,61.95,0.47,
5/1/2021,26.515,50.93,0.52,
6/1/2021,28.136,54.76,0.51,
7/1/2021,28.07,50.28,0.56,
8/1/2021,23.249,48.29,0.48,
9/1/2021,24.391,48.29,0.51,
10/1/2021,25.769,48.58,0.53,
11/1/2021,27.374,52.87,0.52,
12/1/2021,30.539,54.65,0.56,
1/1/2022,24.872,49.95,0.5, 
2/1/2022,18.035,39.47,0.46,
3/1/2022,18.035,45.73,0.39,
